"topic_id","topic_label","n_authors","rendered_overlay_authors","umap_1_min","umap_1_max","umap_2_min","umap_2_max","projection_seed","projection_status"
"0","Marketing/Social","689","689","0.44047946","17.42854","0.28337604","24.381561","0","existing saved projection; no refit"
"1","AI Art Discourse","120665","5000","-15.411351","25.133348","-20.185926","17.345467","0","existing saved projection; no refit"
"2","AI Tools/Code","20535","5000","-13.860399","24.769863","-1.7645577","22.11342","0","existing saved projection; no refit"
"3","Bard/LLMs","3026","3026","-4.9308476","23.589415","-0.08331025","14.737102","0","existing saved projection; no refit"
"4","Visual AI Art","1270","1270","4.192011","13.003059","-0.32355028","9.882996","0","existing saved projection; no refit"
"5","Bot/Spam","67","67","5.361959","11.164276","1.1379052","11.740034","0","existing saved projection; no refit"
"6","Tech/Programming","451","451","2.5550108","10.377602","2.2876256","11.578097","0","existing saved projection; no refit"
"7","News/Updates","226","226","3.5188746","11.326013","0.34749535","10.313904","0","existing saved projection; no refit"
"8","NFT/Crypto","3002","3002","-0.95517415","17.975515","-14.481806","12.499389","0","existing saved projection; no refit"
"9","Web3/DeFi","9069","5000","-3.8390198","20.210855","-21.97169","21.051107","0","existing saved projection; no refit"
"10","General AI","38980","5000","1.0860809","16.88051","-10.513257","18.335484","0","existing saved projection; no refit"
"11","Trading/Invest","346","346","4.165737","12.093927","1.5691416","9.204694","0","existing saved projection; no refit"
