community_id,display_label,n_authors,topic_label,log2_enrichment,topic_id
1,General ChatGPT Discussion,44718,Marketing/Social,-0.4005743451792022,0
0,Anti-AI-Art Discourse,41574,Marketing/Social,-1.2361544028125069,0
3,General ChatGPT Debate,17422,Marketing/Social,-0.4364541731097737,0
8,AI-Art & NFT Posting,12679,Marketing/Social,-0.0733888306442774,0
2,ChatGPT SEO/Content,10348,Marketing/Social,1.61133954622002,0
12,"AI Tokens, Launchpads & AI",7502,Marketing/Social,0.5078155131226216,0
4,AI/Crypto Launchpads,7497,Marketing/Social,0.5541850438540044,0
9,AI-Blockchain Promotion,7256,Marketing/Social,-0.0231605385351303,0
16,Data Science/ML Headlines,7132,Marketing/Social,1.4904474626624709,0
7,AI-Art Authenticity Disputes,5490,Marketing/Social,-0.8968835467060124,0
10,ChatGPT & AI/Tech News,4542,Marketing/Social,0.5418874411619272,0
6,Mixed AI Art/ChatGPT,4098,Marketing/Social,-0.466706558272934,0
5,"NFTs, AI Tokens & AI",3607,Marketing/Social,-0.1118387618494136,0
18,ChatGPT in Education,3281,Marketing/Social,-0.6164726533096596,0
14,India-Linked ChatGPT/AI News,2834,Marketing/Social,0.3986277198326791,0
13,ChatGPT + Regional-Language Markers,2699,Marketing/Social,0.634671119313638,0
15,AI-Art Criticism & Pop Culture,2005,Marketing/Social,-0.0155169984621409,0
11,Anime AI Art/Stable Diffusion,1245,Marketing/Social,-0.7634940712170392,0
17,Mixed ChatGPT Usage,1166,Marketing/Social,0.008468733595954,0
24,Medical Imaging AI,1060,Marketing/Social,-0.7394157101979802,0
28,Mixed AI/Creative Content,610,Marketing/Social,1.1872498075066689,0
1,General ChatGPT Discussion,44718,AI Art Discourse,-0.294592188247149,1
0,Anti-AI-Art Discourse,41574,AI Art Discourse,0.7675767119032795,1
3,General ChatGPT Debate,17422,AI Art Discourse,0.25246578873558,1
8,AI-Art & NFT Posting,12679,AI Art Discourse,0.0177583734424601,1
2,ChatGPT SEO/Content,10348,AI Art Discourse,-0.7599585402040087,1
12,"AI Tokens, Launchpads & AI",7502,AI Art Discourse,-1.618184853606456,1
4,AI/Crypto Launchpads,7497,AI Art Discourse,-3.4472485820791454,1
9,AI-Blockchain Promotion,7256,AI Art Discourse,-0.9154230653748232,1
16,Data Science/ML Headlines,7132,AI Art Discourse,-1.4962034367774966,1
7,AI-Art Authenticity Disputes,5490,AI Art Discourse,0.6702846655202017,1
10,ChatGPT & AI/Tech News,4542,AI Art Discourse,-0.5473389531035968,1
6,Mixed AI Art/ChatGPT,4098,AI Art Discourse,0.1849273323467513,1
5,"NFTs, AI Tokens & AI",3607,AI Art Discourse,-0.4743757598753212,1
18,ChatGPT in Education,3281,AI Art Discourse,-1.0600549430137864,1
14,India-Linked ChatGPT/AI News,2834,AI Art Discourse,-0.4189819483685378,1
13,ChatGPT + Regional-Language Markers,2699,AI Art Discourse,0.0518210084411144,1
15,AI-Art Criticism & Pop Culture,2005,AI Art Discourse,0.6037916997742288,1
11,Anime AI Art/Stable Diffusion,1245,AI Art Discourse,0.368566458435856,1
17,Mixed ChatGPT Usage,1166,AI Art Discourse,0.053863604542393,1
24,Medical Imaging AI,1060,AI Art Discourse,-1.6803391506817889,1
28,Mixed AI/Creative Content,610,AI Art Discourse,-0.1819505255874175,1
1,General ChatGPT Discussion,44718,AI Tools/Code,0.6488358756553093,2
0,Anti-AI-Art Discourse,41574,AI Tools/Code,-1.9699201770813888,2
3,General ChatGPT Debate,17422,AI Tools/Code,-0.628473980772524,2
8,AI-Art & NFT Posting,12679,AI Tools/Code,-0.1077124754883788,2
2,ChatGPT SEO/Content,10348,AI Tools/Code,1.3633768422717805,2
12,"AI Tokens, Launchpads & AI",7502,AI Tools/Code,0.0872102282927652,2
4,AI/Crypto Launchpads,7497,AI Tools/Code,-0.3259159838518277,2
9,AI-Blockchain Promotion,7256,AI Tools/Code,-0.2319631264074632,2
16,Data Science/ML Headlines,7132,AI Tools/Code,0.1416238523395165,2
7,AI-Art Authenticity Disputes,5490,AI Tools/Code,-1.2912035522795688,2
10,ChatGPT & AI/Tech News,4542,AI Tools/Code,0.1670000140642293,2
6,Mixed AI Art/ChatGPT,4098,AI Tools/Code,-0.4030814518598505,2
5,"NFTs, AI Tokens & AI",3607,AI Tools/Code,-0.0608827372017119,2
18,ChatGPT in Education,3281,AI Tools/Code,0.7088802497604189,2
14,India-Linked ChatGPT/AI News,2834,AI Tools/Code,0.3369345488598669,2
13,ChatGPT + Regional-Language Markers,2699,AI Tools/Code,0.1943736816963632,2
15,AI-Art Criticism & Pop Culture,2005,AI Tools/Code,-1.1300072013898128,2
11,Anime AI Art/Stable Diffusion,1245,AI Tools/Code,-1.518454875185722,2
17,Mixed ChatGPT Usage,1166,AI Tools/Code,0.4187051082328615,2
24,Medical Imaging AI,1060,AI Tools/Code,-0.3996051085355864,2
28,Mixed AI/Creative Content,610,AI Tools/Code,0.2764368709593363,2
1,General ChatGPT Discussion,44718,Bard/LLMs,-1.3106921080261795,3
0,Anti-AI-Art Discourse,41574,Bard/LLMs,-0.212850398850317,3
3,General ChatGPT Debate,17422,Bard/LLMs,-0.9932049046539152,3
8,AI-Art & NFT Posting,12679,Bard/LLMs,1.7121752725837287,3
2,ChatGPT SEO/Content,10348,Bard/LLMs,-0.6965430812197408,3
12,"AI Tokens, Launchpads & AI",7502,Bard/LLMs,-0.0171239789663736,3
4,AI/Crypto Launchpads,7497,Bard/LLMs,0.5539599761773784,3
9,AI-Blockchain Promotion,7256,Bard/LLMs,-0.1169285541661237,3
16,Data Science/ML Headlines,7132,Bard/LLMs,-0.3180790212365129,3
7,AI-Art Authenticity Disputes,5490,Bard/LLMs,-0.260173172528537,3
10,ChatGPT & AI/Tech News,4542,Bard/LLMs,-0.2859182734780697,3
6,Mixed AI Art/ChatGPT,4098,Bard/LLMs,0.3958517781188928,3
5,"NFTs, AI Tokens & AI",3607,Bard/LLMs,2.239508009185581,3
18,ChatGPT in Education,3281,Bard/LLMs,-0.4814978972464053,3
14,India-Linked ChatGPT/AI News,2834,Bard/LLMs,-0.3088049814873321,3
13,ChatGPT + Regional-Language Markers,2699,Bard/LLMs,-0.0071593009409954,3
15,AI-Art Criticism & Pop Culture,2005,Bard/LLMs,0.80147376796951,3
11,Anime AI Art/Stable Diffusion,1245,Bard/LLMs,0.8459375812290251,3
17,Mixed ChatGPT Usage,1166,Bard/LLMs,-0.3140546528059484,3
24,Medical Imaging AI,1060,Bard/LLMs,-0.9098128225733848,3
28,Mixed AI/Creative Content,610,Bard/LLMs,1.756688251366921,3
1,General ChatGPT Discussion,44718,Visual AI Art,-1.14867639236861,4
0,Anti-AI-Art Discourse,41574,Visual AI Art,-0.9181036861709524,4
3,General ChatGPT Debate,17422,Visual AI Art,-1.5607367098219085,4
8,AI-Art & NFT Posting,12679,Visual AI Art,2.569727292788526,4
2,ChatGPT SEO/Content,10348,Visual AI Art,-0.4451194643784109,4
12,"AI Tokens, Launchpads & AI",7502,Visual AI Art,-0.915281591274958,4
4,AI/Crypto Launchpads,7497,Visual AI Art,-1.3664665311089643,4
9,AI-Blockchain Promotion,7256,Visual AI Art,-0.4753257371176809,4
16,Data Science/ML Headlines,7132,Visual AI Art,0.0142420947682839,4
7,AI-Art Authenticity Disputes,5490,Visual AI Art,-0.1990864819666601,4
10,ChatGPT & AI/Tech News,4542,Visual AI Art,-0.8115192096738604,4
6,Mixed AI Art/ChatGPT,4098,Visual AI Art,-0.8320174514315709,4
5,"NFTs, AI Tokens & AI",3607,Visual AI Art,0.6672406166105089,4
18,ChatGPT in Education,3281,Visual AI Art,-1.9487279563938829,4
14,India-Linked ChatGPT/AI News,2834,Visual AI Art,-1.0249056944859571,4
13,ChatGPT + Regional-Language Markers,2699,Visual AI Art,-0.9417608173760292,4
15,AI-Art Criticism & Pop Culture,2005,Visual AI Art,-0.9067139266130032,4
11,Anime AI Art/Stable Diffusion,1245,Visual AI Art,3.655169668867117,4
17,Mixed ChatGPT Usage,1166,Visual AI Art,-0.7843107362419417,4
24,Medical Imaging AI,1060,Visual AI Art,-2.4847631506206684,4
28,Mixed AI/Creative Content,610,Visual AI Art,1.5900025772422426,4
1,General ChatGPT Discussion,44718,Bot/Spam,-0.6406634531699126,5
0,Anti-AI-Art Discourse,41574,Bot/Spam,-1.1130056844089309,5
3,General ChatGPT Debate,17422,Bot/Spam,0.4464363938242614,5
8,AI-Art & NFT Posting,12679,Bot/Spam,-0.6237720056560356,5
2,ChatGPT SEO/Content,10348,Bot/Spam,0.407721668999668,5
12,"AI Tokens, Launchpads & AI",7502,Bot/Spam,1.214675915528909,5
4,AI/Crypto Launchpads,7497,Bot/Spam,0.7811716119502727,5
9,AI-Blockchain Promotion,7256,Bot/Spam,0.3391086733466045,5
16,Data Science/ML Headlines,7132,Bot/Spam,1.2416381133176275,5
7,AI-Art Authenticity Disputes,5490,Bot/Spam,-0.6290021452043351,5
10,ChatGPT & AI/Tech News,4542,Bot/Spam,0.6070260180755277,5
6,Mixed AI Art/ChatGPT,4098,Bot/Spam,0.3134558205566178,5
5,"NFTs, AI Tokens & AI",3607,Bot/Spam,-0.3808498605994178,5
18,ChatGPT in Education,3281,Bot/Spam,-0.3886515202074264,5
14,India-Linked ChatGPT/AI News,2834,Bot/Spam,1.477000319590335,5
13,ChatGPT + Regional-Language Markers,2699,Bot/Spam,-0.1403885177552508,5
15,AI-Art Criticism & Pop Culture,2005,Bot/Spam,-0.5071904701530346,5
11,Anime AI Art/Stable Diffusion,1245,Bot/Spam,1.5774437080723416,5
17,Mixed ChatGPT Usage,1166,Bot/Spam,-0.3081910225017942,5
24,Medical Imaging AI,1060,Bot/Spam,-0.7130316266777984,5
28,Mixed AI/Creative Content,610,Bot/Spam,0.6195401638595313,5
1,General ChatGPT Discussion,44718,Tech/Programming,-0.1071224730915971,6
0,Anti-AI-Art Discourse,41574,Tech/Programming,-2.906087357419921,6
3,General ChatGPT Debate,17422,Tech/Programming,-1.2892595481802185,6
8,AI-Art & NFT Posting,12679,Tech/Programming,-1.7180836980265737,6
2,ChatGPT SEO/Content,10348,Tech/Programming,0.673421431904775,6
12,"AI Tokens, Launchpads & AI",7502,Tech/Programming,-0.0017164974178604,6
4,AI/Crypto Launchpads,7497,Tech/Programming,-2.276743802172439,6
9,AI-Blockchain Promotion,7256,Tech/Programming,-0.9320695788114576,6
16,Data Science/ML Headlines,7132,Tech/Programming,3.4741293421793524,6
7,AI-Art Authenticity Disputes,5490,Tech/Programming,-2.282140698371055,6
10,ChatGPT & AI/Tech News,4542,Tech/Programming,0.2331984783846014,6
6,Mixed AI Art/ChatGPT,4098,Tech/Programming,-1.3296129293433447,6
5,"NFTs, AI Tokens & AI",3607,Tech/Programming,-1.849704227089135,6
18,ChatGPT in Education,3281,Tech/Programming,0.0360977467575808,6
14,India-Linked ChatGPT/AI News,2834,Tech/Programming,0.0050144227243843,6
13,ChatGPT + Regional-Language Markers,2699,Tech/Programming,-0.1382853101841983,6
15,AI-Art Criticism & Pop Culture,2005,Tech/Programming,-1.7490783131775305,6
11,Anime AI Art/Stable Diffusion,1245,Tech/Programming,-2.818989065907247,6
17,Mixed ChatGPT Usage,1166,Tech/Programming,-0.290010640749971,6
24,Medical Imaging AI,1060,Tech/Programming,1.029747808432542,6
28,Mixed AI/Creative Content,610,Tech/Programming,-0.3858914897843856,6
1,General ChatGPT Discussion,44718,News/Updates,-0.2658145008035464,7
0,Anti-AI-Art Discourse,41574,News/Updates,-1.4731272303776215,7
3,General ChatGPT Debate,17422,News/Updates,-0.53113107396511,7
8,AI-Art & NFT Posting,12679,News/Updates,0.42061332962915,7
2,ChatGPT SEO/Content,10348,News/Updates,0.5442145252019679,7
12,"AI Tokens, Launchpads & AI",7502,News/Updates,1.1910460860428274,7
4,AI/Crypto Launchpads,7497,News/Updates,0.2578326506562459,7
9,AI-Blockchain Promotion,7256,News/Updates,0.480838300533108,7
16,Data Science/ML Headlines,7132,News/Updates,1.338113683456334,7
7,AI-Art Authenticity Disputes,5490,News/Updates,-1.2415833284532112,7
10,ChatGPT & AI/Tech News,4542,News/Updates,0.4666273303291372,7
