community_id,display_label,n_authors,topic_id,topic_label,membership_weight_author_equivalents,effective_n_kish,weighted_net_sentiment,adequate_support,plotted_weighted_net_sentiment,support_rule
1,General ChatGPT Discussion,44718,0,Marketing/Social,387.948464,3458.053431941595,0.20431583545032753,True,0.20431583545032753,membership_weight >= 10 and Kish effective_n >= 30
1,General ChatGPT Discussion,44718,1,AI Art Discourse,18691.189232999997,32789.99455931968,-0.02977647744715858,True,-0.02977647744715858,membership_weight >= 10 and Kish effective_n >= 30
1,General ChatGPT Discussion,44718,2,AI Tools/Code,9651.213028,24810.396587253625,0.1903792531588332,True,0.1903792531588332,membership_weight >= 10 and Kish effective_n >= 30
1,General ChatGPT Discussion,44718,3,Bard/LLMs,605.429921,4407.860786572448,0.2069093078524912,True,0.2069093078524912,membership_weight >= 10 and Kish effective_n >= 30
1,General ChatGPT Discussion,44718,4,Visual AI Art,256.438291,1281.777927859883,0.2566517330322229,True,0.2566517330322229,membership_weight >= 10 and Kish effective_n >= 30
1,General ChatGPT Discussion,44718,5,Bot/Spam,157.686497,2970.8287525699343,0.10342087921717821,True,0.10342087921717821,membership_weight >= 10 and Kish effective_n >= 30
1,General ChatGPT Discussion,44718,6,Tech/Programming,279.94212799999997,2835.879705559609,0.2237159887250232,True,0.2237159887250232,membership_weight >= 10 and Kish effective_n >= 30
1,General ChatGPT Discussion,44718,7,News/Updates,261.612036,2851.1609024156196,0.26036795208411806,True,0.26036795208411806,membership_weight >= 10 and Kish effective_n >= 30
1,General ChatGPT Discussion,44718,8,NFT/Crypto,227.318022,2134.161993694777,0.1272095544846275,True,0.1272095544846275,membership_weight >= 10 and Kish effective_n >= 30
1,General ChatGPT Discussion,44718,9,Web3/DeFi,112.469808,1376.6082528084378,0.192535639615096,True,0.192535639615096,membership_weight >= 10 and Kish effective_n >= 30
1,General ChatGPT Discussion,44718,10,General AI,13857.474816,28756.32053856076,0.1454956344747042,True,0.1454956344747042,membership_weight >= 10 and Kish effective_n >= 30
1,General ChatGPT Discussion,44718,11,Trading/Invest,229.278042,2175.460432643672,0.10519432947902702,True,0.10519432947902702,membership_weight >= 10 and Kish effective_n >= 30
0,Anti-AI-Art Discourse,41574,0,Marketing/Social,202.105818,2535.0301338894587,-0.2930876590203212,True,-0.2930876590203212,membership_weight >= 10 and Kish effective_n >= 30
0,Anti-AI-Art Discourse,41574,1,AI Art Discourse,36284.494236,40416.633967260255,-0.3679628031521747,True,-0.3679628031521747,membership_weight >= 10 and Kish effective_n >= 30
0,Anti-AI-Art Discourse,41574,2,AI Tools/Code,1460.821724,6740.7512879341375,-0.21677372397010172,True,-0.21677372397010172,membership_weight >= 10 and Kish effective_n >= 30
0,Anti-AI-Art Discourse,41574,3,Bard/LLMs,1204.721346,5242.79540255293,-0.007806322625698067,True,-0.007806322625698067,membership_weight >= 10 and Kish effective_n >= 30
0,Anti-AI-Art Discourse,41574,4,Visual AI Art,279.725214,1968.0251935299555,-0.19103521449570568,True,-0.19103521449570568,membership_weight >= 10 and Kish effective_n >= 30
0,Anti-AI-Art Discourse,41574,5,Bot/Spam,105.668311,2024.209680309705,-0.30933192772053336,True,-0.30933192772053336,membership_weight >= 10 and Kish effective_n >= 30
0,Anti-AI-Art Discourse,41574,6,Tech/Programming,37.396874999999994,912.4586371408693,-0.24991843809090308,True,-0.24991843809090308,membership_weight >= 10 and Kish effective_n >= 30
0,Anti-AI-Art Discourse,41574,7,News/Updates,105.331875,2400.4333529502087,-0.22565964694304097,True,-0.22565964694304097,membership_weight >= 10 and Kish effective_n >= 30
0,Anti-AI-Art Discourse,41574,8,NFT/Crypto,89.228264,1669.8499904728394,-0.33803234171023216,True,-0.33803234171023216,membership_weight >= 10 and Kish effective_n >= 30
0,Anti-AI-Art Discourse,41574,9,Web3/DeFi,53.018514,1067.6879010852088,-0.2808960105313339,True,-0.2808960105313339,membership_weight >= 10 and Kish effective_n >= 30
0,Anti-AI-Art Discourse,41574,10,General AI,1662.215513,7576.467337656517,-0.26627330087824563,True,-0.26627330087824563,membership_weight >= 10 and Kish effective_n >= 30
0,Anti-AI-Art Discourse,41574,11,Trading/Invest,89.274712,1841.9856516653394,-0.2908597641996824,True,-0.2908597641996824,membership_weight >= 10 and Kish effective_n >= 30
3,General ChatGPT Debate,17422,0,Marketing/Social,147.430986,1354.222184175315,-0.05637758481406667,True,-0.05637758481406667,membership_weight >= 10 and Kish effective_n >= 30
3,General ChatGPT Debate,17422,1,AI Art Discourse,10639.79922,14798.322627782549,-0.2260002003976083,True,-0.2260002003976083,membership_weight >= 10 and Kish effective_n >= 30
3,General ChatGPT Debate,17422,2,AI Tools/Code,1551.275591,5008.154140198364,-0.0017241477980813622,True,-0.0017241477980813622,membership_weight >= 10 and Kish effective_n >= 30
3,General ChatGPT Debate,17422,3,Bard/LLMs,293.935939,1599.6329474889349,0.02522891817330757,True,0.02522891817330757,membership_weight >= 10 and Kish effective_n >= 30
3,General ChatGPT Debate,17422,4,Visual AI Art,75.085486,355.97085716158097,0.06691942947644211,True,0.06691942947644211,membership_weight >= 10 and Kish effective_n >= 30
3,General ChatGPT Debate,17422,5,Bot/Spam,130.514813,1795.0173173432759,-0.14301820836753748,True,-0.14301820836753748,membership_weight >= 10 and Kish effective_n >= 30
3,General ChatGPT Debate,17422,6,Tech/Programming,48.064583,484.0370434024363,-0.058817419356026905,True,-0.058817419356026905,membership_weight >= 10 and Kish effective_n >= 30
3,General ChatGPT Debate,17422,7,News/Updates,84.80180800000001,1219.2302082819026,-0.030762161147506805,True,-0.030762161147506805,membership_weight >= 10 and Kish effective_n >= 30
3,General ChatGPT Debate,17422,8,NFT/Crypto,125.18803299999999,854.5307324207139,0.03702253567996435,True,0.03702253567996435,membership_weight >= 10 and Kish effective_n >= 30
3,General ChatGPT Debate,17422,9,Web3/DeFi,48.947158,383.35216184251004,0.08452596667745926,True,0.08452596667745926,membership_weight >= 10 and Kish effective_n >= 30
3,General ChatGPT Debate,17422,10,General AI,4072.360475,9236.977269546387,-0.10921700696889294,True,-0.10921700696889294,membership_weight >= 10 and Kish effective_n >= 30
3,General ChatGPT Debate,17422,11,Trading/Invest,204.596606,1042.432017392367,0.04331629264090302,True,0.04331629264090302,membership_weight >= 10 and Kish effective_n >= 30
8,AI-Art & NFT Posting,12679,0,Marketing/Social,137.996897,739.7506234437958,0.43617225532990567,True,0.43617225532990567,membership_weight >= 10 and Kish effective_n >= 30
8,AI-Art & NFT Posting,12679,1,AI Art Discourse,6580.614542,10124.572617686887,0.27511447736733174,True,0.27511447736733174,membership_weight >= 10 and Kish effective_n >= 30
8,AI-Art & NFT Posting,12679,2,AI Tools/Code,1619.7231339999998,5172.146744458417,0.37916073785635396,True,0.37916073785635396,membership_weight >= 10 and Kish effective_n >= 30
8,AI-Art & NFT Posting,12679,3,Bard/LLMs,1395.2122,4348.200158907214,0.5368446557142481,True,0.5368446557142481,membership_weight >= 10 and Kish effective_n >= 30
8,AI-Art & NFT Posting,12679,4,Visual AI Art,957.0542350000001,2910.123981894575,0.44015462791005083,True,0.44015462791005083,membership_weight >= 10 and Kish effective_n >= 30
8,AI-Art & NFT Posting,12679,5,Bot/Spam,45.235768,768.8564805720434,0.2853175857158746,True,0.2853175857158746,membership_weight >= 10 and Kish effective_n >= 30
8,AI-Art & NFT Posting,12679,6,Tech/Programming,25.985031,307.2270922148185,0.33453251593775046,True,0.33453251593775046,membership_weight >= 10 and Kish effective_n >= 30
