community_id,ngram_type,rank,term,ctfidf,class_count
1,unigram,1,chatgpt,0.029133757278240437,37806
1,unigram,2,gpt,0.015153999307042773,9865
1,unigram,3,like,0.014624676600497356,13373
1,unigram,4,thread,0.014531491903426771,7243
1,unigram,5,just,0.013118803577958691,11513
1,unigram,6,generated,0.011240142850119025,7102
1,unigram,7,think,0.011066336759853914,7870
1,unigram,8,summary,0.010852433491665928,4299
1,unigram,9,people,0.010700642607898405,8252
1,unigram,10,compiled,0.010529141607910951,3947
1,unigram,11,saved,0.010498281178314212,4037
1,unigram,12,llms,0.010484576604875694,4288
1,unigram,13,use,0.010250990686424304,7863
1,unigram,14,new,0.00962107798415336,7263
1,unigram,15,human,0.00941087193116948,6182
1,unigram,16,llm,0.009120532431741206,3711
1,unigram,17,using,0.00859692240510314,6052
1,unigram,18,google,0.008446632246124684,5197
1,unigram,19,good,0.00822087208686147,5382
1,unigram,20,models,0.008194502995596204,4153
1,bigram,1,generated summary,0.01059553303135769,3932
1,bigram,2,compiled thread,0.01058587684875499,3921
1,bigram,3,saved compiled,0.010584157067332914,3920
1,bigram,4,thread ai,0.010442007982331782,3996
1,bigram,5,ai generated,0.009926255228920423,5778
1,bigram,6,summary thread,0.005888443058340423,1934
1,bigram,7,generative ai,0.005069519208256545,2275
1,bigram,8,artificial intelligence,0.003230032016729554,2060
1,bigram,9,ai art,0.0030456918746295768,2243
1,bigram,10,chat gpt,0.002910292806124994,1414
0,unigram,1,art,0.04966175349472641,49267
0,unigram,2,artists,0.028224763282526384,17501
0,unigram,3,like,0.02396505038735989,22022
0,unigram,4,just,0.023252626618632165,20507
0,unigram,5,people,0.022633118149686913,17540
0,unigram,6,artist,0.015395512986698208,8273
0,unigram,7,make,0.01467177916960684,10402
0,unigram,8,work,0.014334989820029032,9621
0,unigram,9,think,0.013410350111038003,9584
0,unigram,10,use,0.012756389282705805,9833
0,unigram,11,thing,0.011025769729820781,6085
0,unigram,12,generated,0.011021209615313875,6998
0,unigram,13,images,0.010937418043400041,5773
0,unigram,14,using,0.010713223274372479,7579
0,unigram,15,shit,0.010636072962945026,4907
0,unigram,16,really,0.010253458289606852,6069
