community,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust
"General ChatGPT Discussion (n=44,718)",0.2195771336869005,0.4960402010867162,0.2345749010851641,0.081824934294356,0.4097611191994042,0.0463535078255724,0.3980365042597396,0.062703051192177,0.1050533398373676,0.1195078901147347,0.1160661816601707
"Anti-AI-Art Discourse (n=41,574)",0.4923307953480368,0.2803966258624367,0.4965533140777232,0.0837777868497016,0.2768567649836054,0.0456611536877759,0.2070327977309453,0.0860148834403672,0.2137356156280374,0.0991715062571134,0.0491925877249991
"General ChatGPT Debate (n=17,422)",0.370509625963878,0.4003128553445915,0.3773958023055372,0.1113145164033746,0.2903746943663046,0.0339496888972191,0.2823422148851604,0.0723959296042268,0.1301498779323865,0.1092741451148461,0.0785444719754812
"AI-Art & NFT Posting (n=12,679)",0.1408859295811527,0.4334328242674414,0.1488776024966807,0.0592107676311861,0.6144150461590332,0.1465833393787972,0.4685125553685403,0.0416000808103292,0.0830665373655933,0.1215088035468846,0.1255874295633139
"ChatGPT SEO/Content (n=10,348)",0.159491223642557,0.4849166048585083,0.1729480285032108,0.0690920860205258,0.4684349554909466,0.0577107337344316,0.4372509298167462,0.0496858674678692,0.0883973015308977,0.1132994288427956,0.1347437522819431
"AI Tokens, Launchpads & AI (n=7,502)",0.0892708772566754,0.5198722360624775,0.0909934834856055,0.0555270489603585,0.6925755640955529,0.1089486567745138,0.6128843852395336,0.0312618208963067,0.0461851423482614,0.1225351851911618,0.1995222992829133
"AI/Crypto Launchpads (n=7,497)",0.0373436045946478,0.6036392959619908,0.0323679153658243,0.0334013875367944,0.8628705453760874,0.1380219985536441,0.7347886818683551,0.0158563176785339,0.0172993730338428,0.1452408048389012,0.2750522535987975
"AI-Blockchain Promotion (n=7,256)",0.1207065995072777,0.5226429562863714,0.120324544915348,0.0522523117758559,0.6421948105828785,0.0844776292956038,0.5646543592424411,0.0327440042264175,0.0522429553257653,0.1190129739111209,0.1816774278173817
"Data Science/ML Headlines (n=7,132)",0.1099552043190739,0.572586413078026,0.1175151210928884,0.0856933775073929,0.5528780448805126,0.0634906019388768,0.5238846516057867,0.0412076371788603,0.0578240906373853,0.1205924106102435,0.1669692022548419
"AI-Art Authenticity Disputes (n=5,490)",0.3985355678604654,0.3349740388335454,0.4069349921743909,0.0835726381264715,0.3217566858020679,0.04829446831522,0.242287916589187,0.0715580089610861,0.1646852959477333,0.1112497282039315,0.061554952116823
"ChatGPT & AI/Tech News (n=4,542)",0.1960817365124515,0.5184233158491567,0.2069824694031768,0.1001130982518908,0.4480057291387839,0.052083524575392,0.4219062468255132,0.0563453082439742,0.0923019441760187,0.1250769191349563,0.1325120776974035
"Mixed AI Art/ChatGPT (n=4,098)",0.3104339730218853,0.4274538079609006,0.3228896785333818,0.1036673169610672,0.3482744710772057,0.0492533702143422,0.3101807230493205,0.0707770100571653,0.1312570350108374,0.1203200456161845,0.0855002464902892
"NFTs, AI Tokens & AI (n=3,607)",0.1212061345546937,0.4489488192529595,0.1262528787162188,0.0513545311097787,0.6566449441587813,0.1491037738478809,0.5071286403595494,0.0342030917807784,0.0667121219102192,0.1238536059512163,0.1499874341924484
"ChatGPT in Education (n=3,281)",0.1378752954308743,0.5630010489023904,0.1498041362249571,0.0879845798450007,0.5009827766610072,0.0628843485308384,0.5090556738239868,0.0520399396508318,0.0742170075419602,0.1210155240787588,0.1556301379928262
"India-Linked ChatGPT/AI News (n=2,834)",0.2113079938404029,0.4558621240913898,0.2267375803270716,0.0807948792798979,0.4212739612953371,0.0597372472703009,0.3840501584226672,0.0596123102762185,0.1106163962819167,0.1112514231051308,0.1139811214515924
"ChatGPT + Regional-Language Markers (n=2,699)",0.2472386968770268,0.4013005474986804,0.2651041148396363,0.0786292984354103,0.4090715860493801,0.0525244637338198,0.3430208364862175,0.0656852199541005,0.1423471814722925,0.1088460153655205,0.0963699068474751
"AI-Art Criticism & Pop Culture (n=2,005)",0.3989041740441885,0.3081905108813249,0.4150232899479076,0.0967330564888501,0.332774467090332,0.0574329265542375,0.2209568888721303,0.0753824762454068,0.1927398011070297,0.1216367680450761,0.0573845577281919
"Anime AI Art/Stable Diffusion (n=1,245)",0.2219205549462233,0.3590047521944802,0.232030931284578,0.0573422360514409,0.5442037171780597,0.1540026173747905,0.3465529621202854,0.0518947390686765,0.1266408531813296,0.1208453479493163,0.0879011622392935
"Mixed ChatGPT Usage (n=1,166)",0.257284527225709,0.4265789000456931,0.27407728087791,0.0891238430171995,0.39138940375402,0.0497519440155358,0.3342652354095873,0.0652843847712022,0.1294196526100704,0.1214713198735625,0.092646261553682
"Medical Imaging AI (n=1,060)",0.0976492666783276,0.6086875563220842,0.105296269373599,0.0750197738699802,0.5699115210584169,0.0690826284536946,0.5572146383849528,0.0417799179658766,0.0536191951329671,0.1309417748078382,0.1841143979789601
Mixed AI/Creative Content (n=610),0.1567090962729599,0.4575827518353387,0.1665402202115407,0.0962517171923732,0.5725313116720683,0.1301209561031046,0.4605639854949788,0.0503896229168986,0.0925631389650358,0.1168346934033158,0.122519831969514
