community,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust
"General ChatGPT Discussion (n=44,718)",-0.2154495113728011,0.349486620333081,-0.1928037993598098,0.0296853180282926,-0.0978289240964756,-0.2093225520211853,0.076335643401461,0.03914303405151,-0.1507092360631367,0.0830405705198838,0.0473262645778036
"Anti-AI-Art Discourse (n=41,574)",0.961895814696084,-0.862997341912802,0.9701200400822204,0.0524640298573192,-0.6153577688269242,-0.2172233682331765,-0.773709615564824,0.5734311567956542,0.8442052985129139,-0.2823544006858169,-0.7784239899041282
"General ChatGPT Debate (n=17,422)",0.4360528855225998,-0.1887527931990723,0.4411790884000476,0.3736614625564642,-0.5627190240855993,-0.3508690357204648,-0.4385516536024255,0.2612958771067085,0.0790330134124613,-0.1008347430924418,-0.4159890665941013
"AI-Art & NFT Posting (n=12,679)",-0.555121289901433,-0.0025314735642443,-0.5732146521698837,-0.2340937288146855,0.6990923732824782,0.9344526272262538,0.3899831333085245,-0.4445197818782853,-0.351983907474635,0.1189920804365058,0.1648939383987699
"ChatGPT SEO/Content (n=10,348)",-0.474811255308586,0.2869427582441055,-0.4663658782240917,-0.1188347946644829,0.1306466807174994,-0.0797192902142354,0.2508560081295385,-0.2592001670075128,-0.3031842783734391,-0.0285102609147686,0.2779555426899403
"AI Tokens, Launchpads & AI (n=7,502)",-0.7779184477431563,0.483485327068212,-0.8301626241579078,-0.2770618299303063,1.0034490122345832,0.5049835243197374,1.0324973113861329,-0.6814642409451154,-0.6896087473230322,0.1374336428097581,1.0778363106186966
"AI/Crypto Launchpads (n=7,497)",-1.0020633094172675,0.9544764826684498,-1.0904018934493915,-0.5351427916569821,1.6665767588425406,0.8367546765748256,1.5750217015153254,-1.0345457708103492,-0.9540389087660914,0.5453979739061193,2.010474670952845
"AI-Blockchain Promotion (n=7,256)",-0.642225674865454,0.4990640607812275,-0.6999618561512893,-0.3152594370345369,0.8072666274217581,0.2257317944972028,0.8178538069027856,-0.6474938116551127,-0.6341534659975793,0.0741481394350457,0.8574891408801477
"Data Science/ML Headlines (n=7,132)",-0.6886342356028621,0.7798776223075601,-0.7124329063455181,0.0748081067076097,0.4594676193173962,-0.0137621825435984,0.6364117955627849,-0.4535142688370147,-0.5830618542276765,0.1025267455450438,0.6758730456988604
"AI-Art Authenticity Disputes (n=5,490)",0.5570272896778747,-0.5561287609244031,0.5723037398699766,0.050071107956606,-0.4405177172215628,-0.187173233823638,-0.6168097983603689,0.2420914215038274,0.3951819815046244,-0.0653383573532301,-0.6257744171528419
"ChatGPT & AI/Tech News (n=4,542)",-0.3168677503764504,0.4753385853004678,-0.3152867788718276,0.243004452404498,0.0510953825289953,-0.14393432544679,0.1825658410742105,-0.1065712327860449,-0.2674398509431681,0.1831023717100185,0.2503989878875943
"Mixed AI Art/ChatGPT (n=4,098)",0.1767354165250075,-0.0361492679926089,0.1992260587356614,0.2844620235519205,-0.3372576031400575,-0.1762307013006068,-0.3146588124021364,0.2241915655938106,0.0891683060477687,0.0976330141983886,-0.3300996708291648
"NFTs, AI Tokens & AI (n=3,607)",-0.6400694242409857,0.0847092200602323,-0.6736459447506106,-0.3257314447763739,0.8635353703072989,0.963214626942144,0.5618406357779746,-0.6140527186496773,-0.5016977915709384,0.1611224322735041,0.4661834137543233
"ChatGPT in Education (n=3,281)",-0.5681167379689177,0.7259826693827772,-0.5691017630644356,0.1015334412176307,0.2573877223336691,-0.0206804581677591,0.5704167293527209,-0.2052467585388615,-0.4329955147642629,0.1101290574765697,0.5358591082241777
"India-Linked ChatGPT/AI News (n=2,834)",-0.2511433792006116,0.1235801728998691,-0.2275937159900724,0.0176704189627391,-0.0529979785294269,-0.0565936813329566,0.0140906368247229,-0.0316942190779244,-0.0997831243942083,-0.065307904133068,0.0215800933833436
"ChatGPT + Regional-Language Markers (n=2,699)",-0.0960479534420585,-0.18319936599762,-0.0572844255726815,-0.0075896253063553,-0.1005139624960142,-0.138902537433656,-0.1685067652074869,0.1074919022378815,0.1906912804684616,-0.1085271852946744,-0.1958818984932022
"AI-Art Criticism & Pop Culture (n=2,005)",0.5586183838722601,-0.7067226196130129,0.6082077450659912,0.2035785382054842,-0.3976145357926864,-0.0828894936596432,-0.7117416680569864,0.3297450827039127,0.6520024680123149,0.1212912888139335,-0.6772701425215206
"Anime AI Art/Stable Diffusion (n=1,245)",-0.2053340978899128,-0.4210129592078084,-0.2040964974646961,-0.2558888931664153,0.4256898336221693,1.0191178999125343,-0.1527873495800209,-0.2085746370871942,0.0469102068037936,0.1070714095509158,-0.3004533384868061
"Mixed ChatGPT Usage (n=1,166)",-0.0526849740581335,-0.0410685511872402,-0.0174524845284536,0.1148221800043367,-0.1693682858146638,-0.170541214149015,-0.2074728005784689,0.0983050877858697,0.0723482823337061,0.1183185907035177,-0.2418611986625763
"Medical Imaging AI (n=1,060)",-0.7417530024637365,0.9828609811052276,-0.7666724667453761,-0.0496923020756082,0.5257958844830422,0.0500513650821473,0.784743981141435,-0.4403980614054337,-0.6215548985008469,0.2884794527447653,0.8875806704761049
Mixed AI/Creative Content (n=610),-0.4868203503842477,0.133254625488422,-0.4948101799351991,0.1979640389969181,0.5359973351256389,0.7465917370081895,0.3546087195896754,-0.2430706678875081,-0.2650487849661435,0.0350097779151293,0.1270154673211731
