community,positive,neutral,negative
"General ChatGPT Discussion (n=44,718)",0.3169707381616734,0.4507924808367282,0.2322369666398935
"Anti-AI-Art Discourse (n=41,574)",0.1543554900991288,0.345651335879133,0.4999925216122647
"General ChatGPT Debate (n=17,422)",0.1954841450320857,0.445194020937591,0.3593218747098616
"AI-Art & NFT Posting (n=12,679)",0.4767894532710395,0.3902491101994905,0.1329613275561699
"ChatGPT SEO/Content (n=10,348)",0.3820437547931584,0.461360377315278,0.1566039759246223
"AI Tokens, Launchpads & AI (n=7,502)",0.6055772026236064,0.317501724122518,0.0769320260745379
"AI/Crypto Launchpads (n=7,497)",0.7690541482769719,0.2182720512471746,0.0127098634981552
"AI-Blockchain Promotion (n=7,256)",0.5648738165808831,0.3462213184717873,0.0889059089433718
"Data Science/ML Headlines (n=7,132)",0.4239080165713734,0.4753969194084129,0.100696795339733
"AI-Art Authenticity Disputes (n=5,490)",0.1949213226401928,0.4073328272592678,0.397746015773264
"ChatGPT & AI/Tech News (n=4,542)",0.3441473452354244,0.463193340441172,0.1926609226772796
"Mixed AI Art/ChatGPT (n=4,098)",0.2380790880467934,0.4467367496567473,0.3151823836558173
"NFTs, AI Tokens & AI (n=3,607)",0.5654647268309935,0.3381722413231333,0.0963671375941868
"ChatGPT in Education (n=3,281)",0.4175557305735275,0.4397908895015303,0.1426522715351789
"India-Linked ChatGPT/AI News (n=2,834)",0.3247478742923456,0.4576721171076335,0.2175793314344155
"ChatGPT + Regional-Language Markers (n=2,699)",0.2821155631267681,0.4573824996499375,0.2605005867471195
"AI-Art Criticism & Pop Culture (n=2,005)",0.1976790898500173,0.3981960271221774,0.4041260659555291
"Anime AI Art/Stable Diffusion (n=1,245)",0.3883361794323415,0.3974443193919133,0.2142204187748924
"Mixed ChatGPT Usage (n=1,166)",0.2802356903281673,0.4475202096733027,0.2722424745690093
"Medical Imaging AI (n=1,060)",0.4785907085663711,0.4343540551038006,0.0870544447808766
Mixed AI/Creative Content (n=610),0.4069944705077639,0.4260205042081418,0.1669801497373519
