community,positive,neutral,negative
"General ChatGPT Discussion (n=44,718)",-0.0475367876565736,0.2884138213203975,-0.1616827356723713
"Anti-AI-Art Discourse (n=41,574)",-0.6943629076055032,-0.3293743511562232,1.004064801137224
"General ChatGPT Debate (n=17,422)",-0.530767619919007,0.2555183995407836,0.3916164052680517
"AI-Art & NFT Posting (n=12,679)",0.588165710239902,-0.067326819668807,-0.5939065666176939
"ChatGPT SEO/Content (n=10,348)",0.2113007282750608,0.3505086506570811,-0.4909717867882978
"AI Tokens, Launchpads & AI (n=7,502)",1.100437967627698,-0.4947757951870958,-0.8378455586513586
"AI/Crypto Launchpads (n=7,497)",1.7506916167651922,-1.077829349395922,-1.1174544274187268
"AI-Blockchain Promotion (n=7,256)",0.9385342496401208,-0.3260252483439855,-0.785713962495193
"Data Science/ML Headlines (n=7,132)",0.3778220006228674,0.4329845423844002,-0.7343790918712084
"AI-Art Authenticity Disputes (n=5,490)",-0.5330063289472555,0.0330536578856663,0.5589064837252767
"ChatGPT & AI/Tech News (n=4,542)",0.0605621730271745,0.3612787724797017,-0.3339879405852856
"Mixed AI Art/ChatGPT (n=4,098)",-0.3613399552448288,0.2645831624974661,0.1994429768676926
"NFTs, AI Tokens & AI (n=3,607)",0.9408846822648026,-0.3733200030643737,-0.7532294490659263
"ChatGPT in Education (n=3,281)",0.3525548466889862,0.2237706884341453,-0.5517143735404851
"India-Linked ChatGPT/AI News (n=2,834)",-0.0166020822851406,0.3288371771895065,-0.2254987866148167
"ChatGPT + Regional-Language Markers (n=2,699)",-0.1861783842877658,0.3271354433917675,-0.0386292829635353
"AI-Art Criticism & Pop Culture (n=2,005)",-0.5220369033533707,-0.0206323378418273,0.5866837889821723
"Anime AI Art/Stable Diffusion (n=1,245)",0.2363297748308206,-0.0250492209288783,-0.240122737776546
"Mixed ChatGPT Usage (n=1,166)",-0.1936558554523939,0.2691866156178545,0.0124922588744109
"Medical Imaging AI (n=1,060)",0.5953304686964318,0.191824945518885,-0.7937748215393412
Mixed AI/Creative Content (n=610),0.3105458779637287,0.1428586804078635,-0.4457962569474851
