community,Marketing/Social,AI Art Discourse,AI Tools/Code,Bard/LLMs,Visual AI Art,Bot/Spam,Tech/Programming,News/Updates,NFT/Crypto,Web3/DeFi,General AI,Trading/Invest
"General ChatGPT Discussion (n=44,718)",17.94634472989146,19.3143374127767,37.14325501340112,9.54999753793703,10.685007954219348,15.195044723877077,21.99448622362446,19.703472005751014,4.846374017793662,1.5869337283576097,36.187635212211,16.413030798409036
"Anti-AI-Art Discourse (n=41,574)",9.349336363772029,37.49418807920189,5.6220574207854135,19.00316698784397,11.655303601230557,10.18244898636788,2.9381967547024788,7.933135195567857,1.9023284493582011,0.7480840377534931,4.340736636884982,6.390793399985058
"General ChatGPT Debate (n=17,422)",6.8200999466357,10.994520978711144,5.970174392111401,4.636519267373983,3.1285850955714936,12.576716829871954,3.776336974325473,6.386900524580881,2.6689834142138342,0.690637757089876,10.634628406596292,14.64619274587123
"AI-Art & NFT Posting (n=12,679)",6.383682666719682,6.800006573322406,6.233598744813373,22.007952717123317,39.87755523450401,4.359025857990412,2.041591276143884,8.990436092269345,5.319182381941514,1.8203551887991696,3.547120220415395,4.365836114067009
"ChatGPT SEO/Content (n=10,348)",16.74929316923106,3.2371634749347296,14.10432389231181,3.3826307063601133,4.026619915553633,7.272293529927063,8.742889679741383,7.993920848728438,2.470516104803451,1.4497517297416684,5.948160919541724,6.301432818426552
"AI Tokens, Launchpads & AI (n=7,502)",5.6509737398380615,1.2945934576857436,4.221905246331213,3.9273603939536983,2.107309737531018,9.223791407628717,3.969528004718472,9.073945898190631,35.84286585291999,16.480689709582,3.970241862009277,6.740783654092112
"AI/Crypto Launchpads (n=7,497)",5.831662204528658,0.3641168799879418,3.16851342258987,5.830752506878348,1.5403472037140125,6.825305975871195,0.8195922848325503,4.748772892248746,17.56200258030771,56.0042201926838,2.049562892111638,4.767580114274527
"AI-Blockchain Promotion (n=7,256)",3.7827164217942806,2.038008543407802,3.273014601044175,3.544678078985618,2.764957734880618,4.862478388762877,2.01462816121323,5.364417284638651,20.756065191575463,14.184812382503104,4.254175533408758,21.84641525887492
"Data Science/ML Headlines (n=7,132)",10.615959556366324,1.3393304662894343,4.167953736777479,3.03066920252115,3.815725811425272,8.934292730975082,41.98624183454915,9.55217385872782,1.6361927447809073,0.7704239742465177,8.629715932939023,3.564865997733834
"AI-Art Authenticity Disputes (n=5,490)",1.561931637804296,4.628354995495411,1.1883924179625769,2.4284599362492445,2.53349393668987,1.8806256665361116,0.5979406338979435,1.2299771633031122,0.3026718239573286,0.1141029592113256,0.9732165940239365,1.0911278909313409
"ChatGPT & AI/Tech News (n=4,542)",3.5030798073344407,1.646494236457526,2.7014545857390138,1.9735842963963488,1.3709891989828946,3.664871038682172,2.828299484852334,3.3250216750250394,0.6883713363073161,0.2664658313734238,4.66171385655139,4.184970099988726
"Mixed AI Art/ChatGPT (n=4,098)",1.570933526654959,2.467852254186984,1.6417645503249891,2.8563652488619877,1.2195181601051688,2.697802084941742,0.8637679932439021,2.0756868164269364,0.2414525820163177,0.1161931098490552,2.435044582356328,1.4529537679501394
"NFTs, AI Tokens & AI (n=3,607)",1.7683077402325065,1.375382002117654,1.83188050043298,9.023681461959312,3.0344788150282542,1.467497729673631,0.5301615343196101,3.427429299081586,4.44431271273698,4.861675610331139,1.1760675868571318,3.2948351890064336
"ChatGPT in Education (n=3,281)",1.1337257162599,0.8336359270929532,2.841050650938322,1.244914278424269,0.4502556691650223,1.3276664858561682,1.782178756284679,4.000785553939787,0.0862139106913255,0.2692447691466618,3.924627577643457,0.4460953546618586
"India-Linked ChatGPT/AI News (n=2,834)",1.9791434541243165,1.1229288491008542,1.8962944732371287,1.2120451868425794,0.7378210079980596,4.179263685795395,1.50656496992401,1.5890744201003808,0.3101837903690703,0.1209001605784394,2.575374477880631,1.73824450189662
"ChatGPT + Regional-Language Markers (n=2,699)",2.2199155659139604,1.4821122270311986,1.6360392581169156,1.4227423130314325,0.7443602231121363,1.2972397781292642,1.299132315471751,1.1040320531337582,0.3998604198026081,0.2775483255162286,1.5254463348616183,1.1686676678195085
"AI-Art Criticism & Pop Culture (n=2,005)",1.0508042547108114,1.6141813206054882,0.4853184944033616,1.8512307240288808,0.566558572490824,0.7473316228395764,0.3159860190833394,0.5050946228851048,0.1489578805337192,0.0647116473280958,0.3306688069658938,0.4609934141306799
"Anime AI Art/Stable Diffusion (n=1,245)",0.3885198944563123,0.8515250694892834,0.2302223138808526,1.1854970167757712,8.309283728072488,1.9683655325690568,0.0934646992291289,0.6001320112559401,0.0988172577556284,0.0454002379978538,0.09945282211967,0.1883466489024539
"Mixed ChatGPT Usage (n=1,166)",0.6213358621439153,0.6411972316995258,0.825695418667932,0.4968636292379227,0.3586542821799131,0.4988871707221175,0.505213766525712,0.5256560123770854,0.1909803298003869,0.0705825078844016,0.617969468763399,0.5881763041261162
"Medical Imaging AI (n=1,060)",0.3363551524730793,0.1752071824260388,0.4256878637942483,0.2988845340677454,0.1003219932605675,0.3425630252980248,1.1464876244348892,0.8430695394721358,0.0400442066496478,0.0374954969426336,1.8654346780394244,0.214342783741
Mixed AI/Creative Content (n=610),0.7358785891142516,0.2848628379793072,0.3914030023358354,1.0920039751472832,0.9728521242848424,0.4964877476844903,0.2473110088816217,1.0268662322957434,0.0436230116849516,0.0197706430835072,0.2530055978190185,0.1343154751108529
