community,Marketing/Social,AI Art Discourse,AI Tools/Code,Bard/LLMs,Visual AI Art,Bot/Spam,Tech/Programming,News/Updates,NFT/Crypto,Web3/DeFi,General AI,Trading/Invest
"General ChatGPT Discussion (n=44,718)",0.0086754430877946,0.4179790964041326,0.215823897043696,0.0135388416521311,0.0057345652980902,0.0035262421619929,0.0062601665548548,0.0058502624446531,0.0050833673688447,0.0025150902992083,0.3098858360391788,0.0051271980410572
"Anti-AI-Art Discourse (n=41,574)",0.0048613512772405,0.872768899696926,0.0351378679944195,0.0289777588396594,0.0067283690287198,0.0025416921874248,0.0008995255448116,0.0025335997257901,0.0021462515995574,0.0012752805599653,0.0399820924856881,0.0021473688362919
"General ChatGPT Debate (n=17,422)",0.008462345654919,0.6107105510274367,0.0890411887842957,0.0168715382275284,0.0043098086327631,0.0074913794627482,0.002758844162553,0.0048675127999081,0.0071856292618528,0.0028095028125358,0.2337481618069108,0.0117435774308345
"AI-Art & NFT Posting (n=12,679)",0.0108838943923022,0.5190168421799827,0.1277484923101191,0.1100411862134237,0.0754834162788863,0.0035677709598548,0.0020494542945027,0.0094147917028156,0.0196778126035176,0.010175325183374,0.1071309115860872,0.0048101221705181
"ChatGPT SEO/Content (n=10,348)",0.0349895288944723,0.3027368807499033,0.3541586016621569,0.0207232939698492,0.0093388250869733,0.007293021646695,0.0107535786625434,0.0102569534209509,0.0111981997487437,0.0099292027444916,0.2201152758987244,0.0085066109393119
"AI Tokens, Launchpads & AI (n=7,502)",0.0162833688349773,0.1669988453745668,0.1462289508131165,0.0331882472673953,0.0067415434550786,0.0127592438016528,0.0067346688882964,0.0160595763796321,0.2241003876299653,0.1556952940549187,0.2026580215942415,0.0125518288456411
"AI/Crypto Launchpads (n=7,497)",0.0168152326263838,0.0470013597438975,0.1098171028411364,0.0493057668400693,0.0049310469521141,0.0094477226890756,0.0013914409763905,0.0084102488995598,0.1098761583299986,0.5294322673069227,0.1046881759370414,0.0088835012671735
"AI-Blockchain Promotion (n=7,256)",0.0112694972436604,0.2718102603362734,0.1172067464167585,0.0309699244762954,0.0091453271775082,0.0069542921719955,0.0035338821664829,0.0098161285832414,0.1341728648015435,0.1385490285281146,0.2245132753583241,0.0420587721885336
"Data Science/ML Headlines (n=7,132)",0.0321770297251822,0.181732890353337,0.1518495457094784,0.0269393939988782,0.0128402609366236,0.0129999405496354,0.0749290293045429,0.0177830333707235,0.0107606887268648,0.0076558888109927,0.4633498853056646,0.0069824133482894
"AI-Art Authenticity Disputes (n=5,490)",0.0061501783242258,0.815852104007286,0.0562457185792349,0.028042660837887,0.0110753012750455,0.0035548602914389,0.0013862455373406,0.0029746759562841,0.0025859289617486,0.0014729965391621,0.0678830043715846,0.0027763677595628
"ChatGPT & AI/Tech News (n=4,542)",0.0166725079260237,0.3508085788199031,0.1545441188903566,0.0275466741523557,0.0072442749889916,0.0083734434169969,0.0079256100836635,0.0097199114927344,0.0071087393218846,0.0041578762659621,0.3930269911933069,0.0128711961690885
"Mixed AI Art/ChatGPT (n=4,098)",0.0082867432894094,0.5827795744265496,0.1040976346998535,0.044187802830649,0.0071420739385065,0.0068317293801854,0.0026827462176671,0.0067251942410932,0.0027636105417276,0.0020094887750122,0.2275405780868716,0.00495283113714
"NFTs, AI Tokens & AI (n=3,607)",0.0105976540060992,0.3690067538120321,0.1319632306626005,0.1585981929581369,0.0201904496811754,0.0042220543387856,0.0018707532575547,0.0126164543942334,0.0577930224563349,0.0955249894649293,0.1248561768782922,0.0127603102301081
"ChatGPT in Education (n=3,281)",0.0074696421822615,0.2458823261200853,0.2249959433099664,0.0240543617799451,0.0032935251447729,0.004199284364523,0.0069135239256324,0.0161902666869856,0.0012325032002438,0.0058159170984455,0.4580534041450777,0.0018993069186223
"India-Linked ChatGPT/AI News (n=2,834)",0.0150964717713479,0.3834506813690896,0.1738632826393789,0.0271131256175017,0.0062482614678899,0.0153035592801693,0.0067661630204657,0.0074449082568807,0.0051337674664784,0.0030234597741707,0.3479881344389555,0.0085681033874382
"ChatGPT + Regional-Language Markers (n=2,699)",0.0177799937013708,0.531416856243053,0.1575044316413486,0.0334182715820674,0.0066189377547239,0.0049878099296035,0.0061263942200815,0.0054311745090774,0.0069490025935531,0.007288075954057,0.2164302412004446,0.0060486969247869
"AI-Art Criticism & Pop Culture (n=2,005)",0.0113293625935162,0.7791033301745636,0.0628947516209476,0.0585338099750623,0.006781698254364,0.0038680448877805,0.002005893765586,0.0033448244389027,0.0034847052369077,0.0022874164588528,0.0631542738154613,0.0032118408977556
"Anime AI Art/Stable Diffusion (n=1,245)",0.0067459317269076,0.6618890666666666,0.048048518875502,0.060365907630522,0.1601777767068273,0.0164069903614457,0.0009555044176706,0.0064001831325301,0.003722891566265,0.0025844369477911,0.0305894489959839,0.0021133052208835
"Mixed ChatGPT Usage (n=1,166)",0.0115192950257289,0.5321697795883361,0.1840023061749571,0.0270146457975986,0.0073821946826758,0.0044401363636363,0.0055148164665523,0.00598574271012,0.0076825789022298,0.0042901818181818,0.2029515454545454,0.0070466492281303
"Medical Imaging AI (n=1,060)",0.0068594650943396,0.159956966981132,0.1043487726415094,0.0178755,0.0022714245283018,0.0033537226415094,0.0137663226415094,0.010560208490566,0.0017719471698113,0.0025069773584905,0.6739040632075471,0.0028247283018867
Mixed AI/Creative Content (n=610),0.0260780049180327,0.4519215819672131,0.1667232852459016,0.1134893229508196,0.0382758655737704,0.0084463918032786,0.0051602180327868,0.0223511049180327,0.003354306557377,0.002297037704918,0.1588269475409836,0.0030758836065573
